funding_rounds,founder_experience_years,team_size,market_size_billion,product_traction_users,burn_rate_million,revenue_million,investor_type,sector,founder_background,outcome
4,13,58,48.225482910592184,594843,18.519211333664636,1483962.4463136655,tier2_vc,Health,academic,IPO
1,6,221,31.532646759844056,393020,14.298149337263936,862056.8206105949,tier2_vc,Fintech,first_time,Failure
3,5,247,4.969722274302981,27636,20.447566927536926,97261.68595812123,none,SaaS,first_time,Failure
3,14,229,3.084209154574656,235376,8.177417255365485,1145785.4380071766,none,Ecommerce,ex_bigtech,Acquisition
1,17,235,13.818187647524933,391765,4.879791681034349,860894.9419068969,none,Health,first_time,Acquisition
2,9,184,30.553673372945468,551576,36.87890904451568,1973636.2488530234,angel,Ecommerce,academic,Acquisition
1,15,148,9.39369550064966,325934,22.196385419810056,1554667.5896493872,tier1_vc,Health,first_time,Acquisition
1,7,31,8.533003583261985,205696,4.849757495704883,102912.94837968753,tier2_vc,Climate,first_time,Failure
2,24,238,44.136743635091676,83347,20.866993043330112,179309.35263990593,none,Crypto,first_time,Failure
2,23,173,13.238911012117649,194574,36.56893350215269,121504.45510472437,none,Climate,ex_bigtech,Acquisition
1,24,36,7.364337907186981,114349,3.1218762733247902,380513.2248133796,tier2_vc,Health,academic,Failure
0,2,3,3.001269993596529,350746,86.17872487510336,1649294.82656054,tier2_vc,Crypto,ex_bigtech,Acquisition
4,20,91,182.13358885688092,386217,12.93154443730131,1585512.2579496675,none,Fintech,serial_founder,Acquisition
2,2,294,14.208469349022689,20342,8.480568673443976,57851.648321901,tier2_vc,Health,ex_bigtech,Failure
1,2,256,6.51864863120012,210769,25.334794465255026,811061.46305577,none,Crypto,serial_founder,Failure
3,14,283,17.40658730612061,193982,26.34581090770058,442561.30108977377,angel,Crypto,first_time,Failure
2,5,254,8.490802919195794,150150,5.627369928276287,699236.5187341075,angel,Ecommerce,first_time,Failure
6,10,146,11.315105779045242,92870,10.186482036016029,268550.4552638033,none,Health,serial_founder,Acquisition
1,14,242,59.41292107398718,57468,18.173631036843524,208599.27404187474,angel,Ecommerce,serial_founder,Failure
1,4,147,5.496415497638026,290906,18.858165634754386,1422997.0913402883,tier1_vc,AI,ex_bigtech,Failure
2,16,47,2.4880739919546824,333690,15.801065267335554,915835.4470710453,tier1_vc,Fintech,ex_bigtech,Acquisition
2,3,109,11.849868380109779,320281,7.229725146563008,643569.9900738224,tier1_vc,AI,first_time,Acquisition
1,12,144,7.792862908328931,287985,22.902179847280042,561950.9737936583,none,Fintech,ex_bigtech,Failure
3,0,223,80.43387161295627,311215,9.996123346617692,1125617.1777844063,angel,AI,first_time,Acquisition
4,6,69,34.25838691152322,243840,32.16366275953538,944107.8722219547,tier2_vc,SaaS,academic,Acquisition
1,22,110,38.41715146919658,178393,38.06373101350197,284008.9248988594,tier2_vc,SaaS,first_time,Acquisition
